C:\Users\USER\anaconda3\envs\rl_3.9\python.exe C:\Users\USER\anaconda3\envs\rl_3.9\Project#2\pong_ppo.py 
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 4890, Total Reward: 18.00
Episode 4900, Total Reward: -15.00
Episode 4910, Total Reward: 10.00
Episode 4920, Total Reward: 10.00
Episode 4930, Total Reward: 13.00
Episode 4940, Total Reward: 12.00
Episode 4950, Total Reward: 17.00
Episode 4960, Total Reward: 16.00
Episode 4970, Total Reward: 15.00
Episode 4980, Total Reward: 15.00
Episode 4990, Total Reward: 17.00
Episode 5000, Total Reward: 18.00
Episode 5010, Total Reward: 13.00
Episode 5020, Total Reward: 4.00
Episode 5030, Total Reward: 11.00
Episode 5040, Total Reward: 14.00
Episode 5050, Total Reward: -17.00
Episode 5060, Total Reward: 13.00
Episode 5070, Total Reward: 19.00
Episode 5080, Total Reward: 18.00
Episode 5090, Total Reward: 4.00
Episode 5100, Total Reward: 17.00
Episode 5110, Total Reward: 18.00
Episode 5120, Total Reward: 12.00
Episode 5130, Total Reward: 12.00
Episode 5140, Total Reward: 15.00
Episode 5150, Total Reward: 13.00
Episode 5160, Total Reward: 14.00
Episode 5170, Total Reward: 17.00
Episode 5180, Total Reward: 6.00
Episode 5190, Total Reward: 15.00
Episode 5200, Total Reward: 10.00
Episode 5210, Total Reward: 12.00
Episode 5220, Total Reward: 10.00
Episode 5230, Total Reward: 13.00
Episode 5240, Total Reward: 15.00
Episode 5250, Total Reward: 17.00
Episode 5260, Total Reward: 14.00
Episode 5270, Total Reward: 13.00
Episode 5280, Total Reward: 14.00
Episode 5290, Total Reward: 3.00
Episode 5300, Total Reward: 15.00
Episode 5310, Total Reward: 14.00
Episode 5320, Total Reward: 15.00
Episode 5330, Total Reward: 13.00
Episode 5340, Total Reward: 12.00
Episode 5350, Total Reward: 12.00
Episode 5360, Total Reward: 8.00
Episode 5370, Total Reward: 11.00
Episode 5380, Total Reward: 17.00
Episode 5390, Total Reward: 15.00
Episode 5400, Total Reward: 18.00
Episode 5410, Total Reward: 15.00
Episode 5420, Total Reward: 5.00
Episode 5430, Total Reward: 12.00
Episode 5440, Total Reward: 18.00
Episode 5450, Total Reward: 12.00
Episode 5460, Total Reward: 16.00
Episode 5470, Total Reward: 7.00
Episode 5480, Total Reward: 16.00
Episode 5490, Total Reward: -1.00
Episode 5500, Total Reward: 17.00
Episode 5510, Total Reward: 17.00
Episode 5520, Total Reward: 13.00
Episode 5530, Total Reward: 17.00
Episode 5540, Total Reward: 10.00
Episode 5550, Total Reward: 4.00
Episode 5560, Total Reward: 17.00
Episode 5570, Total Reward: 10.00
Episode 5580, Total Reward: 17.00
Episode 5590, Total Reward: 18.00
Episode 5600, Total Reward: 12.00
Episode 5610, Total Reward: 14.00
Episode 5620, Total Reward: 16.00
Episode 5630, Total Reward: 17.00
Episode 5640, Total Reward: 14.00
Episode 5650, Total Reward: 8.00
Episode 5660, Total Reward: 11.00
Episode 5670, Total Reward: 18.00
Episode 5680, Total Reward: 16.00
Episode 5690, Total Reward: 13.00
Episode 5700, Total Reward: 17.00
Episode 5710, Total Reward: 15.00
Episode 5720, Total Reward: 15.00
Episode 5730, Total Reward: 15.00
Episode 5740, Total Reward: 13.00
Episode 5750, Total Reward: 17.00
Episode 5760, Total Reward: 16.00
Episode 5770, Total Reward: -12.00
Episode 5780, Total Reward: 9.00
Episode 5790, Total Reward: 11.00
Episode 5800, Total Reward: 17.00
Episode 5810, Total Reward: 14.00
Episode 5820, Total Reward: 14.00
Episode 5830, Total Reward: 16.00
Episode 5840, Total Reward: 19.00
Episode 5850, Total Reward: 16.00
Episode 5860, Total Reward: -7.00
Episode 5870, Total Reward: 11.00
Episode 5880, Total Reward: 16.00
Episode 5890, Total Reward: 16.00
Episode 5900, Total Reward: 18.00
Episode 5910, Total Reward: 10.00
Episode 5920, Total Reward: 15.00
Episode 5930, Total Reward: 15.00
Episode 5940, Total Reward: 16.00
Episode 5950, Total Reward: 10.00
Episode 5960, Total Reward: 17.00
Episode 5970, Total Reward: 18.00
Episode 5980, Total Reward: 10.00
Episode 5990, Total Reward: 16.00
Episode 6000, Total Reward: 11.00
Episode 6010, Total Reward: 19.00
Episode 6020, Total Reward: 14.00
Episode 6030, Total Reward: 13.00
Episode 6040, Total Reward: 20.00
Episode 6050, Total Reward: 19.00
Episode 6060, Total Reward: 16.00
Episode 6070, Total Reward: 15.00
Episode 6080, Total Reward: 12.00
Episode 6090, Total Reward: -7.00
Episode 6100, Total Reward: 13.00
Episode 6110, Total Reward: 15.00
Episode 6120, Total Reward: 20.00
Episode 6130, Total Reward: 14.00
Episode 6140, Total Reward: 14.00
Episode 6150, Total Reward: 13.00
Episode 6160, Total Reward: 14.00
Episode 6170, Total Reward: 12.00
Episode 6180, Total Reward: 14.00
Episode 6190, Total Reward: 13.00
Episode 6200, Total Reward: 12.00
Episode 6210, Total Reward: 6.00
